,Country,Tons of food scarcity,Tons of surplus food,Coordinates,GDP per Capita,Population,Infant Mortality Rate,Life Expectancy
0,Afghanistan,18414379,1852067.5,"33.7680065, 66.2385139",355.8,41128771,43.4,61.982
1,Albania,597953,141775,"1.2315264, -75.89204331320687",6810.114041,2777689,8.4,76.463
2,Algeria,5572676,2295944.5,"28.0000272, 2.9999825",4342.637968,44903225,19.2,76.377
3,Andorra,0,3742.5,"42.5407167, 1.5732033",41992.77278,79824,2.6,
4,Angola,17532405,1833639,"-11.8775768, 17.5691241",3000.444231,35588987,47.2,61.643
5,Antigua and Barbuda,20641,4211,"17.2234721, -61.9554608",19919.72669,93763,5.2,78.497
6,Argentina,11247749,1971971.5,"-34.9964963, -64.9672817",13650.60463,46234830,6.1,75.39
7,Armenia,202635,160727,"4.536307, -75.6723751",7018.051504,2780469,9.5,72.043
8,Aruba,0,4610,"12.5013629, -69.9618475",33300.83882,106445,,74.626
9,Australia,2061947,1400679,"-24.7761086, 134.755",65099.84591,26005540,3.2,83.3
10,Austria,198421,213269,"47.59397, 14.12456",52084.6812,9041851,3,81.23902439
11,Azerbaijan,659522,546010,"40.3936294, 47.7872508",7762.073829,10141756,16.6,69.366
12,Bahamas,47191,16891,"24.7736546, -78.0000547",31458.30081,409984,11.4,71.598
13,Bahrain,0,118593.5,"26.1551249, 50.5344606",30146.92503,1472233,5.9,78.76
14,Bangladesh,35823898,6584156.5,"-0.2864982, 36.0514231",2688.305501,171186372,22.9,72.381
15,Barbados,58925,12446,"13.1500331, -59.5250305",20238.78424,281635,11.1,77.571
16,Belarus,0,397097,"53.4250605, 27.6971358",7888.263711,9228071,2.1,72.37068293
17,Belgium,374599,344068,"50.6402809, 4.6667145",49926.82543,11685814,3.4,81.8902439
18,Belize,112760,13335,"17.1204943, -88.6859028",6984.21696,405272,9.6,70.47
19,Benin,5794660,679935,"9.5293472, 2.2584408",1302.851036,13352864,55.2,59.821
20,Bermuda,0,2703.5,"32.2937417, -64.7815286",118774.7907,63532,,79.28
21,Bhutan,0,35967.5,"27.549511, 90.5119273",3560.2,782455,22.5,71.815
22,Bolivia,0,551040,"-17.0568696,-64.9912286",3600.121635,12224110,20.2,63.63
23,Bosnia and Herzegovina,282230,162448.5,"44.3053476, 17.5961467",7568.79848,3233526,4.8,75.3
24,Botswana,955665,123916,"-23.1681782, 24.5928742",7738.878804,2630296,28.3,61.141
25,Brazil,41589269,7939585,"-10.3333333, -53.2",8917.674911,215313498,12.9,72.75
26,British Virgin Islands,0,1301,"18.4024395, -64.5661642",46223,31305,9.9,74.494
27,Brunei Darussalam,0,20145,"4.4137155, 114.5653908",37152.47697,449002,9.6,74.642
28,Bulgaria,730196,294075,"42.6073975, 25.4856617",13974.44925,6465097,5.3,71.51463415
29,Burkina Faso,7641608,1202362,"12.0753083, -1.6880314",830.0371503,22673762,51.8,59.27
30,Burundi,0,682234,"-3.426449, 29.9324519",259.0250314,12889576,37.6,61.663
32,Cambodia,5533940,840625,"12.5433216, 104.8144914",1759.608023,16767842,21.3,69.584
33,Cameroon,9977868,1490888.5,"4.6125522, 13.1535811",1563.48894,27914536,47,60.333
34,Canada,1662367,1708802.5,"61.0666922, -107.991707",55522.44569,38929902,4.4,82.59660976
35,Cape Verde,139222,31683,"16.0000552, -24.0083947",3754.304794,593149,11.7,74.052
