,Country,Tons of food scarcity,Tons of surplus food,Coordinates
0,Afghanistan,18414379.0,1852067.5,"33.7680065, 66.2385139"
1,Albania,597953.0,141775.0,"1.2315264, -75.89204331320687"
2,Algeria,5572676.0,2295944.5,"28.0000272, 2.9999825"
3,Andorra,0.0,3742.5,"42.5407167, 1.5732033"
4,Angola,17532405.0,1833639.0,"-11.8775768, 17.5691241"
5,Antigua and Barbuda,20641.0,4211.0,"17.2234721, -61.9554608"
6,Argentina,11247749.0,1971971.5,"-34.9964963, -64.9672817"
7,Armenia,202635.0,160727.0,"4.536307, -75.6723751"
8,Aruba,0.0,4610.0,"12.5013629, -69.9618475"
9,Australia,2061947.0,1400679.0,"-24.7761086, 134.755"
10,Austria,198421.0,213269.0,"47.59397, 14.12456"
11,Azerbaijan,659522.0,546010.0,"40.3936294, 47.7872508"
12,Bahamas,47191.0,16891.0,"24.7736546, -78.0000547"
13,Bahrain,0.0,118593.5,"26.1551249, 50.5344606"
14,Bangladesh,35823898.0,6584156.5,"-0.2864982, 36.0514231"
15,Barbados,58925.0,12446.0,"13.1500331, -59.5250305"
16,Belarus,0.0,397097.0,"53.4250605, 27.6971358"
17,Belgium,374599.0,344068.0,"50.6402809, 4.6667145"
18,Belize,112760.0,13335.0,"17.1204943, -88.6859028"
19,Benin,5794660.0,679935.0,"9.5293472, 2.2584408"
20,Bermuda,0.0,2703.5,"32.2937417, -64.7815286"
21,Bhutan,0.0,35967.5,"27.549511, 90.5119273"
22,Bolivia (Plurin. State of),0.0,551040.0,
23,Bosnia and Herzegovina,282230.0,162448.5,"44.3053476, 17.5961467"
24,Botswana,955665.0,123916.0,"-23.1681782, 24.5928742"
25,Brazil,41589269.0,7939585.0,"-10.3333333, -53.2"
26,British Virgin Islands,0.0,1301.0,"18.4024395, -64.5661642"
27,Brunei Darussalam,0.0,20145.0,"4.4137155, 114.5653908"
28,Bulgaria,730196.0,294075.0,"42.6073975, 25.4856617"
29,Burkina Faso,7641608.0,1202362.0,"12.0753083, -1.6880314"
30,Burundi,0.0,682234.0,"-3.426449, 29.9324519"
31,Cabo Verde,0.0,31683.0,"16.0000552, -24.0083947"
32,Cambodia,5533940.0,840625.0,"12.5433216, 104.8144914"
33,Cameroon,9977868.0,1490888.5,"4.6125522, 13.1535811"
34,Canada,1662367.0,1708802.5,"61.0666922, -107.991707"
35,Cape Verde,139222.0,0.0,"16.0000552, -24.0083947"
36,Cayman Islands,0.0,2814.0,"19.703182249999998, -79.9174627243246"
37,Central African Republic,2932116.0,280760.5,"7.0323598, 19.9981227"
38,Chad,0.0,943534.5,"15.6134137, 19.0156172"
39,Chile,2266822.0,821873.0,"-31.7613365, -71.3187697"
40,China,0.0,57035459.0,"35.000074, 104.999927"
41,"China, Hong Kong SAR",0.0,313126.0,"22.350627, 114.1849161"
42,"China, Macao SAR",0.0,26966.0,
43,Colombia,0.0,2166409.5,"4.099917, -72.9088133"
44,Comoros,433697.0,49025.0,"-12.2045176, 44.2832964"
45,Congo,3414034.0,310001.5,"-2.9814344, 23.8222636"
46,Costa Rica,549837.0,222277.5,"10.2735633, -84.0739102"
47,Cote d'Ivoire,7745926.0,0.0,"7.9897371, -5.5679458"
48,Croatia,315254.0,200492.5,"45.3658443, 15.6575209"
49,Cuba,0.0,499084.5,"23.0131338, -80.8328748"
50,Curaçao,0.0,7086.0,"12.21351355, -69.04089204044595"
51,Cyprus,0.0,64331.0,"34.9174159, 32.889902651331866"
52,Czechia,412287.0,441891.5,"49.7439047, 15.3381061"
53,Côte d’Ivoire,0.0,1481676.0,"7.9897371, -5.5679458"
54,Dem. People's Rep. Korea,0.0,1235976.5,
55,Dem. Rep. of the Congo,0.0,5135164.0,
56,Democratic Republic of Congo,45314666.0,0.0,"-15.4139213, 28.289698"
57,Denmark,216277.0,320726.0,"55.670249, 10.3333283"
58,Djibouti,362041.0,56094.5,"11.8145966, 42.8453061"
59,Dominica,0.0,3162.0,"15.4113138, -61.3653618"
60,Dominican Republic,0.0,472904.5,"19.0974031, -70.3028026"
61,Ecuador,4369007.0,765072.0,"-1.3397668, -79.3666965"
62,Egypt,19803138.0,5353517.0,"26.2540493, 29.2675469"
63,El Salvador,1975131.0,308882.0,"13.8000382, -88.9140683"
64,Equatorial Guinea,0.0,72939.0,"1.613172, 10.5170357"
65,Eritrea,0.0,206913.5,"15.9500319, 37.9999668"
66,Estonia,70893.0,54493.0,"58.7523778, 25.3319078"
67,Eswatini,533951.0,66149.0,"-26.5624806, 31.3991317"
68,Ethiopia,44456372.0,6040086.0,"10.2116702, 38.6521203"
69,Faroe Islands,0.0,2167.0,"62.0448724, -7.0322972"
70,Fiji,119908.0,40652.5,"-18.1239696, 179.0122737"
71,Finland,328450.0,216406.0,"63.2467777, 25.9209164"
72,France,2567918.0,3594963.0,"46.603354, 1.8883335"
73,French Polynesia,0.0,12778.0,"-17.0243749, -144.6434898"
74,Gabon,0.0,116864.0,"-0.8999695, 11.6899699"
75,Gambia,1007719.0,138907.0,"13.470062, -15.4900464"
76,Georgia,986292.0,233042.0,"32.3293809, -83.1137366"
77,Germany,1968648.0,3381009.5,"51.1638175, 10.4478313"
78,Ghana,7950168.0,1515537.5,"8.0300284, -1.0800271"
79,Gibraltar,0.0,1636.0,"36.1285933, -5.3474761"
80,Greece,482512.0,780664.0,"43.2097838, -77.6930602"
81,Greenland,0.0,2452.0,"35.9948477, -94.1796014"
